"Qty";"Value";"Device";"Package";"Parts";"Description";"DATASHEET";"DIST";"DISTLINK";"DISTPN";"MFR";"MPN";"VALUE";
"1";"0.22uF/16V";"0.22UF_CER_SMD_0402_16V-10%";"CAPC1005X55_SMD-0402";"C2";"0.22µF ±10% 50V Ceramic Capacitor X5R 0402 (1005 Metric)";"https://product.tdk.com/info/en/documents/chara_sheet/CGA2B1X5R1C224K050BC.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=445-7877-1-ND";"445-7877-1-ND";"TDK Corporation";"CGA2B1X5R1C224K050BC";"0.22uF/16V";
"2";"1uF/25V";"1UF_CER_SMD-0402_25V-10%";"CAPC1005X55_SMD-0402";"C1, C3";"";"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_lowprofile_en.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=445-13185-1-ND";"445-13185-1-ND";"TDK Corporation";"CGB2A1X5R1E105K033BC";"1uF/25V";
"1";"62K";"62KΩ_SMD-0402_1/16W-5%";"RESC1005X35_SMD-0402";"R1";"";"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf";"Digikey";"https://www.digikey.com/en/products/detail/yageo/RC0402JR-0762KL/726499?s=N4IgTCBcDaIMwEYEFoBsYDSApASgYQBVkA5AERAF0BfIA";"311-62KJRCT-ND";"Yageo";"RC0402JR-0762KL";"62K";
"1";"NCP5623CMUTBG";"NCP5623CMUTBG";"SON40P200X200X80-11T57X90N";"U1";"IC LED DRIVER RGLTR 30MA 12LLGA";"https://www.onsemi.com/pub/Collateral/NCP5623C-D.PDF";"Digikey";"https://www.digikey.com/en/products/detail/on-semiconductor/NCP5623CMUTBG/2194146?s=N4IgTCBcDaIHIGEAKBWAbGAzAgsgVQBUAhAcQHkBlBAgWjgBEQBdAXyA";"NCP5623CMUTBGOSCT-ND";"ON Semiconductor";"NCP5623CMUTBG";"NCP5623CMUTBG";
"2";"PTH VERT MALE";"1X04_PTH_VERT_MALE_2.54MM";"HDRV4W64P254_1X4_1016X254X838B";"J1, J2";"";"https://drawings-pdf.s3.amazonaws.com/C10436.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=PEC04SAAN";"S1012E-04-ND";"Sullins Connector Solutions";"PEC04SAAN";"PTH VERT MALE";
